               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11281,            0.025851,                   0,            0.000625,             0.13158,          0.00053095,          0.00013526,             0.10527,            0.016655,                   0,            0.070811,           0.0032432,           0.0032432
                   1,            0.093346,            0.019776,                   0,            0.001125,             0.23684,            0.005256,           0.0012973,            0.094899,            0.013714,                   0,            0.040746,           0.0065115,           0.0065115
                   2,            0.084879,            0.016947,                   0,           0.0022083,             0.46491,            0.022451,           0.0039617,            0.094582,            0.011969,                   0,            0.010615,           0.0097137,           0.0097137
                   3,            0.081037,            0.015492,                   0,           0.0022917,             0.48246,            0.031984,           0.0081573,            0.086933,              0.0119,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.070656,            0.017481,                   0,           0.0033333,             0.70175,               0.088,            0.019234,            0.081849,            0.012515,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.065713,            0.016109,                   0,             0.55609,             0.16487,              0.1715,            0.069056,            0.070177,             0.01334,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05952,            0.016866,                   0,             0.57317,             0.18853,             0.20416,            0.091166,            0.065747,            0.013368,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.055826,            0.015083,                   0,             0.44769,              0.2193,             0.22257,            0.078787,            0.064085,            0.012582,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053968,            0.014255,                   0,             0.48383,             0.34211,             0.29868,             0.12865,            0.058376,            0.012942,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053018,             0.01401,                   0,             0.47235,              0.2807,             0.25271,            0.082491,            0.059274,            0.012058,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04906,            0.013021,                   0,             0.55905,             0.30702,             0.34858,             0.13111,            0.058554,            0.011807,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047607,            0.012962,                   0,             0.61312,             0.37719,             0.49549,             0.21108,            0.053953,            0.011705,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046454,            0.011468,                   0,             0.68944,                 0.5,             0.52544,             0.19516,            0.058528,            0.010425,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044625,            0.011413,                   0,             0.59555,             0.54251,               0.509,             0.18148,            0.057884,           0.0097443,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.045288,            0.010224,                   0,             0.51328,             0.48246,             0.44399,             0.14437,            0.057647,            0.009046,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041973,            0.009586,                   0,             0.57047,             0.49123,             0.44913,              0.1369,            0.055145,           0.0087551,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.043038,           0.0090444,                   0,             0.61751,             0.53509,             0.57014,             0.20905,            0.054273,           0.0090063,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041693,           0.0086107,                   0,             0.70245,             0.55916,             0.61121,             0.29172,            0.051239,           0.0087999,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.041605,           0.0088393,                   0,             0.77338,             0.59872,             0.65982,             0.26098,            0.053099,           0.0083655,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.040683,           0.0087043,                   0,             0.75918,             0.63603,             0.69664,             0.28213,            0.051589,           0.0082451,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.038847,           0.0080193,                   0,             0.78982,             0.66667,             0.71143,             0.28958,            0.050174,           0.0082375,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.038991,           0.0082482,                   0,             0.88871,             0.66667,             0.74611,             0.28297,            0.049873,            0.008177,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035856,           0.0083585,                   0,              0.7699,             0.62281,             0.70298,             0.26348,            0.049089,           0.0081401,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036924,           0.0079935,                   0,             0.85998,             0.59267,              0.6962,             0.26281,            0.050036,           0.0082378,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035888,           0.0076255,                   0,             0.73774,             0.64158,             0.68656,              0.2498,            0.049067,           0.0082399,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.037437,           0.0076169,                   0,             0.87439,             0.67173,              0.7469,             0.24661,            0.048492,           0.0082304,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.035063,           0.0073258,                   0,             0.81511,             0.60526,             0.66691,             0.28276,            0.049557,           0.0083002,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.036008,           0.0078764,                   0,             0.90295,             0.65292,             0.74505,             0.29238,            0.046542,           0.0080831,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.036308,           0.0075309,                   0,             0.87668,             0.67544,             0.75387,             0.30831,            0.047387,           0.0079819,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.034763,           0.0071483,                   0,             0.83218,             0.66667,             0.74336,             0.29092,            0.048769,           0.0079027,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.034552,           0.0068035,                   0,             0.84212,             0.65789,             0.71542,             0.27546,            0.049035,            0.008026,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.034421,           0.0068396,                   0,             0.86489,             0.66667,             0.76232,             0.31817,            0.046068,           0.0079388,                   0,             0.00703,             0.00703,             0.00703
